No.                  Date/Time           Status           Location ID 
018131               22/12/2020 20:14    C/Out            112         
018131               23/12/2020 08:03    C/In             112         
018131               23/12/2020 19:43    C/In             112         
018866               22/12/2020 07:24    C/In             112         
018866               22/12/2020 10:22    C/In             112         
018866               22/12/2020 10:24    C/In             111         
018866               22/12/2020 10:37    C/In             112         
018866               22/12/2020 16:46    C/In             111         
018866               22/12/2020 21:38    C/Out            112         
018866               23/12/2020 07:09    C/Out            112         
018866               23/12/2020 14:51    C/In             112         
018866               23/12/2020 20:12    C/Out            112         
018866               23/12/2020 20:39    C/Out            112         
018866               23/12/2020 20:43    C/Out            111         
018944               22/12/2020 08:18    C/In             112         
018944               22/12/2020 09:39    C/In             111         
018944               22/12/2020 11:39    C/In             112         
018944               22/12/2020 12:58    C/In             112         
018944               22/12/2020 18:12    C/Out            112         
018944               22/12/2020 18:13    C/Out            112         
018944               23/12/2020 08:21    C/In             112         
018944               23/12/2020 09:50    C/In             112         
018944               23/12/2020 14:31    C/Out            111         
018944               23/12/2020 18:03    C/In             112         
019096               22/12/2020 07:52    C/In             112         
019096               22/12/2020 12:21    C/In             112         
019096               22/12/2020 18:40    C/Out            112         
019096               23/12/2020 07:52    C/In             112         
019096               23/12/2020 12:38    C/In             112         
019096               23/12/2020 12:54    C/In             112         
019096               23/12/2020 18:37    C/Out            111         
019740               22/12/2020 08:50    C/In             112         
019740               22/12/2020 08:51    C/In             111         
019740               22/12/2020 12:52    C/In             112         
019740               22/12/2020 18:13    C/Out            112         
019740               22/12/2020 19:05    C/Out            112         
019740               22/12/2020 19:25    C/Out            112         
019740               22/12/2020 19:26    C/In             111         
019740               23/12/2020 08:58    C/In             112         
019740               23/12/2020 10:00    C/In             112         
019740               23/12/2020 11:27    C/Out            111         
019740               23/12/2020 11:32    C/In             112         
019740               23/12/2020 12:55    C/In             112         
019740               23/12/2020 12:56    C/Out            111         
019740               23/12/2020 13:00    C/In             112         
019740               23/12/2020 16:24    C/In             112         
019740               23/12/2020 20:30    C/Out            112         
019741               22/12/2020 08:31    C/In             112         
019741               22/12/2020 20:40    C/Out            112         
019741               22/12/2020 20:42    C/Out            112         
019741               23/12/2020 08:37    C/In             112         
019741               23/12/2020 12:39    C/In             112         
019741               23/12/2020 13:25    C/Out            111         
019741               23/12/2020 15:44    C/In             112         
019741               23/12/2020 18:36    C/In             112         
020470               22/12/2020 08:05    C/In             112         
020470               22/12/2020 17:47    C/Out            112         
020782               22/12/2020 08:05    C/In             112         
020782               22/12/2020 08:24    C/In             112         
020782               22/12/2020 18:23    C/Out            112         
020782               23/12/2020 08:17    C/In             112         
020782               23/12/2020 17:31    C/In             112         
020789               22/12/2020 07:55    C/In             112         
020796               22/12/2020 08:52    C/In             112         
020796               22/12/2020 13:01    C/In             112         
020796               22/12/2020 18:06    C/Out            112         
020796               23/12/2020 07:17    C/Out            112         
020796               23/12/2020 08:23    C/Out            111         
020796               23/12/2020 12:05    C/In             112         
020796               23/12/2020 12:33    C/Out            111         
020796               23/12/2020 15:07    C/Out            111         
020796               23/12/2020 18:16    C/In             112         
020896               22/12/2020 08:05    C/In             112         
020896               22/12/2020 08:05    C/In             112         
020896               22/12/2020 10:05    C/In             112         
020896               22/12/2020 10:26    C/In             112         
020896               22/12/2020 10:48    C/In             112         
020896               22/12/2020 13:07    C/In             111         
020896               22/12/2020 13:07    C/In             112         
020896               22/12/2020 14:27    C/In             112         
020896               22/12/2020 17:59    C/Out            112         
020896               23/12/2020 08:11    C/In             112         
020896               23/12/2020 09:49    C/In             112         
020896               23/12/2020 11:13    C/In             112         
020896               23/12/2020 12:22    C/In             112         
021089               22/12/2020 08:31    C/In             111         
021089               22/12/2020 08:31    C/In             112         
021089               22/12/2020 13:43    C/In             111         
021089               23/12/2020 08:27    C/In             112         
021089               23/12/2020 18:36    C/Out            111         
021157               22/12/2020 08:22    C/In             112         
021157               22/12/2020 11:52    C/In             112         
021157               22/12/2020 18:23    C/Out            112         
021157               23/12/2020 08:33    C/In             112         
021157               23/12/2020 12:25    C/In             112         
021157               23/12/2020 19:18    C/In             112         
021581               22/12/2020 09:30    C/In             112         
021581               22/12/2020 12:27    C/In             111         
021581               22/12/2020 21:43    C/Out            111         
021581               23/12/2020 09:34    C/In             112         
100142               22/12/2020 08:59    C/In             111         
100142               22/12/2020 14:44    C/In             111         
100142               22/12/2020 15:20    C/In             111         
100142               23/12/2020 14:55    C/In             112         
100142               23/12/2020 18:49    C/Out            111         
100142               23/12/2020 18:52    C/In             112         
100614               22/12/2020 08:01    C/In             112         
100614               22/12/2020 12:29    C/In             112         
100614               22/12/2020 17:31    C/Out            112         
100614               23/12/2020 07:33    C/In             112         
550001               22/12/2020 05:54    C/Out            111         
550001               22/12/2020 10:03    C/In             112         
550001               22/12/2020 12:59    C/In             111         
550001               22/12/2020 14:51    C/In             111         
550001               22/12/2020 15:30    C/In             111         
550001               23/12/2020 06:13    C/Out            112         
550001               23/12/2020 06:13    C/Out            111         
550001               23/12/2020 10:22    C/Out            111         
550001               23/12/2020 15:35    C/Out            111         
550001               23/12/2020 15:35    C/Out            111         
550002               22/12/2020 08:06    C/In             112         
550002               22/12/2020 08:13    C/In             112         
550002               22/12/2020 10:08    C/In             112         
550002               22/12/2020 10:58    C/In             111         
550002               22/12/2020 14:50    C/In             111         
550002               22/12/2020 18:31    C/In             111         
550002               23/12/2020 08:27    C/Out            111         
550002               23/12/2020 12:50    C/Out            111         
550002               23/12/2020 13:43    C/Out            111         
550002               23/12/2020 14:27    C/Out            111         
550002               23/12/2020 14:41    C/Out            111         
550002               23/12/2020 17:46    C/In             112         
550002               23/12/2020 18:30    C/Out            111         
700007               22/12/2020 06:58    C/In             108         
700007               22/12/2020 06:58    C/In             108         
700007               22/12/2020 06:58    C/In             108         
700007               22/12/2020 15:20    C/In             108         
700007               23/12/2020 07:13    C/Out            108         
700007               23/12/2020 07:13    C/Out            108         
700007               23/12/2020 16:25    C/In             108         
700008               22/12/2020 07:44    C/Out            109         
700008               22/12/2020 07:45    C/Out            109         
700008               22/12/2020 18:08    C/In             109         
700008               23/12/2020 08:13    OverTime In      109         
700008               23/12/2020 18:01    C/In             109         
700009               22/12/2020 06:33    C/Out            112         
700009               22/12/2020 12:59    C/In             112         
700009               22/12/2020 20:30    C/Out            112         
700009               23/12/2020 06:24    C/Out            112         
700009               23/12/2020 12:19    C/In             112         
700009               23/12/2020 19:40    C/Out            111         
700009               23/12/2020 20:09    C/Out            112         
700009               23/12/2020 20:10    C/Out            111         
700023               22/12/2020 08:34    C/In             112         
700023               22/12/2020 13:04    C/In             112         
700023               22/12/2020 22:14    C/Out            112         
700023               23/12/2020 08:02    C/In             112         
700023               23/12/2020 13:27    C/In             112         
700023               23/12/2020 20:04    C/Out            112         
700042               22/12/2020 09:00    C/In             108         
700042               22/12/2020 18:41    C/Out            108         
700048               22/12/2020 07:32    C/Out            111         
700048               22/12/2020 17:30    C/In             111         
700048               23/12/2020 07:46    C/Out            111         
700048               23/12/2020 17:31    C/Out            111         
700048               23/12/2020 17:40    C/In             112         
700054               22/12/2020 01:02    C/Out            109         
700054               22/12/2020 16:48    C/In             109         
700054               23/12/2020 01:05    C/Out            109         
700054               23/12/2020 16:49    C/In             109         
700054               24/12/2020 01:26    C/Out            109         
700059               22/12/2020 07:32    C/Out            109         
700059               22/12/2020 07:32    C/Out            109         
700059               22/12/2020 17:08    C/In             109         
700059               22/12/2020 17:08    C/In             109         
700059               23/12/2020 07:23    OverTime In      109         
700059               23/12/2020 07:23    OverTime In      109         
700059               23/12/2020 17:06    C/In             109         
700059               23/12/2020 17:06    C/In             109         
700067               22/12/2020 07:46    C/In             112         
700067               22/12/2020 10:45    C/In             112         
700067               22/12/2020 14:02    C/In             112         
700067               22/12/2020 15:27    C/In             112         
700067               22/12/2020 15:36    C/In             112         
700067               22/12/2020 18:17    C/Out            112         
700067               22/12/2020 18:17    C/Out            112         
700067               22/12/2020 18:18    C/In             111         
700067               22/12/2020 22:16    C/Out            112         
700067               23/12/2020 07:59    C/In             112         
700067               23/12/2020 10:32    C/In             112         
700067               23/12/2020 10:58    C/In             112         
700067               23/12/2020 20:04    C/Out            112         
700068               22/12/2020 06:58    C/In             112         
700068               22/12/2020 21:50    C/Out            112         
700068               23/12/2020 07:49    C/In             112         
700068               23/12/2020 08:32    C/Out            111         
700068               23/12/2020 12:37    C/In             112         
700068               23/12/2020 20:41    C/Out            112         
700072               22/12/2020 07:50    C/Out            109         
700072               22/12/2020 07:50    C/Out            109         
700072               22/12/2020 17:28    C/In             109         
700072               22/12/2020 17:28    C/In             109         
700072               23/12/2020 08:13    OverTime In      109         
700072               23/12/2020 08:13    OverTime In      109         
700072               23/12/2020 18:27    C/In             109         
700072               23/12/2020 18:37    C/In             109         
700072               23/12/2020 18:44    C/In             109         
700076               22/12/2020 08:20    C/In             109         
700076               22/12/2020 08:20    C/In             109         
700076               22/12/2020 17:10    C/In             109         
700076               22/12/2020 17:10    C/In             109         
700076               23/12/2020 08:36    OverTime In      109         
700076               23/12/2020 17:06    C/In             109         
700076               23/12/2020 17:06    C/In             109         
700083               22/12/2020 08:06    C/In             109         
700083               22/12/2020 08:14    C/In             109         
700083               22/12/2020 22:24    C/Out            109         
700083               22/12/2020 22:24    C/Out            109         
700083               23/12/2020 08:11    OverTime In      109         
700083               23/12/2020 08:11    OverTime In      109         
700083               23/12/2020 20:44    C/In             109         
700083               23/12/2020 20:44    C/In             109         
700087               22/12/2020 02:12    C/Out            109         
700087               22/12/2020 02:12    C/Out            109         
700087               22/12/2020 16:41    C/In             109         
700087               23/12/2020 01:44    C/Out            109         
700087               23/12/2020 01:44    C/Out            109         
700087               23/12/2020 03:28    C/Out            109         
700087               23/12/2020 17:08    C/In             109         
700087               24/12/2020 01:52    C/Out            109         
700096               22/12/2020 07:23    C/In             112         
700096               22/12/2020 19:44    C/Out            112         
700096               23/12/2020 07:21    C/Out            112         
700096               23/12/2020 13:13    C/In             112         
700096               23/12/2020 14:01    C/Out            111         
700096               23/12/2020 14:06    C/Out            111         
700100               22/12/2020 06:42    C/Out            112         
700100               22/12/2020 11:47    C/In             112         
700100               23/12/2020 06:39    C/Out            112         
700100               23/12/2020 08:49    C/In             112         
700100               23/12/2020 08:59    C/In             112         
700100               23/12/2020 11:29    C/In             112         
700100               23/12/2020 13:18    C/Out            111         
700100               23/12/2020 13:19    C/In             112         
700100               23/12/2020 15:07    C/In             112         
700100               23/12/2020 15:09    C/In             112         
700100               23/12/2020 15:15    C/In             112         
700100               23/12/2020 20:02    C/Out            112         
700104               22/12/2020 07:37    C/In             112         
700104               22/12/2020 08:58    C/In             112         
700104               22/12/2020 22:15    C/Out            112         
700104               23/12/2020 07:14    C/Out            112         
700104               23/12/2020 08:14    C/In             112         
700104               23/12/2020 13:12    C/In             112         
700104               23/12/2020 20:05    C/Out            112         
700107               22/12/2020 08:33    C/In             112         
700107               22/12/2020 22:16    C/Out            112         
700107               23/12/2020 08:38    C/In             112         
700107               23/12/2020 15:04    C/In             112         
700107               23/12/2020 20:39    C/Out            112         
700107               23/12/2020 20:43    C/Out            112         
700108               22/12/2020 08:29    C/In             112         
700108               22/12/2020 22:15    C/Out            112         
700108               23/12/2020 08:33    C/In             112         
700108               23/12/2020 18:31    C/In             112         
700167               22/12/2020 01:53    C/Out            109         
700167               22/12/2020 17:12    C/In             109         
700167               23/12/2020 01:58    C/Out            109         
700167               23/12/2020 02:22    C/Out            109         
700167               23/12/2020 16:37    C/In             109         
700224               22/12/2020 06:50    C/In             112         
700224               22/12/2020 11:20    C/In             112         
700224               23/12/2020 06:36    C/Out            112         
700224               23/12/2020 10:01    C/In             112         
700224               23/12/2020 16:26    C/In             112         
700224               23/12/2020 17:14    C/Out            111         
700399               22/12/2020 06:16    C/Out            108         
700399               22/12/2020 06:17    C/In             108         
700399               22/12/2020 17:00    C/Out            108         
